lag,correlation
1,-0.04301075268817213
2,-0.043478260869565265
3,-0.04395604395604393
4,-0.04444444444444439
5,-0.04494382022471909
6,-0.04545454545454547
7,-0.04597701149425289
8,-0.046511627906976764
9,-0.04705882352941179
10,-0.047619047619047665
11,0.2138554216867469
12,-0.048780487804878044
13,-0.0493827160493827
14,-0.049999999999999996
15,-0.050632911392405035
16,-0.051282051282051246
17,-0.05194805194805197
18,-0.0526315789473685
19,-0.05333333333333335
20,-0.05405405405405406
21,0.20890410958904104
22,-0.05555555555555554
23,-0.05633802816901406
24,-0.05714285714285712
25,-0.05797101449275362
26,-0.0588235294117647
27,-0.05970149253731346
28,0.2045454545454549
29,-0.05288858853479445
30,-0.05370861555295751
31,-0.05455447255899814
32,0.249423297963162
33,-0.05632871717548384
34,-0.05725983343138684
35,-0.058222250973958216
36,-0.059217575226138366
37,0.24601072019425083
38,-0.052631578947368425
39,-0.05357142857142862
40,-0.05454545454545459
41,-0.05555555555555556
42,-0.056603773584905655
43,-0.05769230769230763
44,-0.058823529411764684
45,-0.059999999999999956
46,-0.06122448979591838
47,-0.06250000000000003
48,0.2907801418439716
49,0.3775417508916835
