ts,total_bytes
2026-03-06 14:50:40,1
2026-03-06 14:50:45,0
2026-03-06 14:50:50,0
2026-03-06 14:50:55,0
2026-03-06 14:51:00,0
2026-03-06 14:51:05,0
2026-03-06 14:51:10,1
2026-03-06 14:51:15,0
2026-03-06 14:51:20,0
2026-03-06 14:51:25,0
2026-03-06 14:51:30,0
2026-03-06 14:51:35,0
2026-03-06 14:51:40,1
2026-03-06 14:51:45,0
2026-03-06 14:51:50,0
2026-03-06 14:51:55,0
2026-03-06 14:52:00,0
2026-03-06 14:52:05,0
2026-03-06 14:52:10,1
2026-03-06 14:52:15,0
2026-03-06 14:52:20,0
2026-03-06 14:52:25,0
2026-03-06 14:52:30,0
2026-03-06 14:52:35,0
2026-03-06 14:52:40,1
2026-03-06 14:52:45,0
2026-03-06 14:52:50,0
2026-03-06 14:52:55,0
2026-03-06 14:53:00,0
2026-03-06 14:53:05,0
2026-03-06 14:53:10,1
2026-03-06 14:53:15,0
2026-03-06 14:53:20,0
2026-03-06 14:53:25,0
2026-03-06 14:53:30,0
2026-03-06 14:53:35,0
2026-03-06 14:53:40,1
2026-03-06 14:53:45,0
2026-03-06 14:53:50,0
2026-03-06 14:53:55,0
2026-03-06 14:54:00,0
2026-03-06 14:54:05,0
2026-03-06 14:54:10,1
2026-03-06 14:54:15,0
2026-03-06 14:54:20,0
2026-03-06 14:54:25,0
2026-03-06 14:54:30,0
2026-03-06 14:54:35,0
2026-03-06 14:54:40,1
2026-03-06 14:54:45,0
2026-03-06 14:54:50,0
2026-03-06 14:54:55,0
2026-03-06 14:55:00,0
2026-03-06 14:55:05,0
2026-03-06 14:55:10,1
