idx,total_bytes
2,10.03144
3,0.504849
4,0.52041
6,0.506307
7,0.525787
8,0.002478
9,0.540184
11,0.524736
12,0.534412
13,0.519947
15,10.026164
16,0.523444
17,0.50275
18,0.539086
19,0.529994
21,10.006096
22,0.529837
23,0.531517
24,0.514459
25,0.515171
28,10.024141
29,0.518805
30,0.529647
31,0.534163
32,0.533139
34,5.202133
35,4.821221
36,0.510472
38,0.520584
39,0.538945
40,0.516267
42,10.024096
43,0.504404
44,0.526323
45,0.500514
46,0.507683
47,0.003189
48,0.519992
49,0.540176
50,0.532503
51,0.517925
53,10.022207
54,0.530019
55,0.501733
56,0.528451
57,0.503034
60,10.032215
61,0.532001
62,0.531114
63,0.504091
64,0.523712
66,10.035123
68,0.52983
69,0.53016
70,0.532003
71,0.531357
73,10.033331
74,0.530206
75,0.529308
76,0.563476
77,0.528928
79,10.018429
80,0.560909
81,0.562668
82,0.515258
83,0.53206
84,0.003123
85,0.529435
86,0.529934
87,0.531445
88,0.500885
91,10.017851
92,0.529714
93,0.534745
95,0.52649
96,0.528192
99,10.008349
100,0.520752
101,0.503324
102,0.546471
103,0.533876
105,10.031391
106,0.562587
107,0.530639
108,0.565216
109,0.50072
111,10.026651
112,0.533451
113,0.52949
114,0.501589
115,0.529456
118,10.034636
119,0.558666
120,0.501011
121,0.533996
122,0.558411
123,0.002641
124,0.529986
126,0.531065
127,0.532874
128,0.515054
130,10.008335
131,0.526672
132,0.533268
133,0.529295
134,0.519949
136,10.004268
137,0.518362
138,0.521706
139,0.518057
140,0.53053
142,10.016378
143,0.54032
144,0.524065
145,0.531029
146,0.52359
149,10.027315
150,0.501056
151,0.562683
152,0.530589
153,0.530477
155,10.033097
157,0.501154
158,0.559109
159,0.549647
160,0.527691
161,0.002666
162,0.563124
163,0.52856
164,0.533147
165,0.531404
167,10.034092
168,0.527727
169,0.531417
170,0.5315
171,0.500214
173,10.015806
174,0.532995
175,0.529742
176,0.528219
177,0.506746
180,10.012294
181,0.530047
182,0.499847
183,0.502603
185,0.529177
187,10.017861
188,0.531097
189,0.52727
190,0.508268
191,0.494627
193,10.029008
194,0.526174
195,0.506181
196,0.562659
197,0.53167
198,0.001847
199,0.557996
200,0.503363
201,0.528939
202,0.535748
204,10.009157
205,0.504791
206,0.518866
207,0.517686
208,0.51888
211,10.013236
212,0.50147
213,0.512925
215,0.529415
216,0.517817
218,10.033378
219,0.532253
220,0.514159
221,0.526513
222,0.531866
224,10.006309
226,0.508599
227,0.503976
228,0.517124
229,0.51669
231,10.022153
232,0.502384
233,0.526988
234,0.531295
235,0.531477
236,0.002911
237,0.529302
238,0.561494
239,0.532805
240,0.531658
243,10.015339
244,0.531244
246,0.501081
247,0.528928
248,0.501876
250,10.030325
251,0.529625
252,0.501144
253,0.532272
254,0.560169
256,10.013994
257,0.525457
258,0.530277
259,0.527751
260,0.533461
262,10.006267
263,0.530358
264,0.501536
265,0.510855
266,0.502028
269,10.007527
270,0.529897
271,0.532166
272,0.530359
273,0.531653
274,0.003162
276,0.527088
277,0.531978
278,0.529145
279,0.532297
281,10.033696
282,0.526155
283,0.533731
284,0.516918
285,0.529462
287,10.033532
288,0.528234
289,0.533233
290,0.525682
291,0.523378
293,10.026587
294,0.523563
295,0.517203
296,0.530532
297,0.501324
300,10.005083
301,0.539012
302,0.513332
304,0.531479
305,0.52175
307,10.016583
308,0.542856
309,0.500874
310,0.52007
311,0.541192
312,0.002818
313,0.500351
314,0.527413
315,0.501376
316,0.514148
318,10.021559
319,0.529997
320,0.512199
321,0.503369
322,0.502706
324,10.021462
325,0.561802
326,0.529872
327,0.501398
328,0.529509
331,10.018208
332,0.560236
334,0.51274
335,0.50322
336,0.562413
338,10.032182
339,0.527167
340,0.502465
341,0.534413
342,0.52921
344,10.032248
345,0.527276
346,0.502284
347,0.50182
348,0.51441
349,0.002527
350,0.52964
351,0.530148
352,0.561088
353,0.5012
355,10.016631
356,0.562128
357,0.531163
358,0.530668
359,0.531207
362,10.016588
364,0.528909
365,0.532866
366,0.530819
367,0.532893
369,10.014445
370,0.561659
371,0.501274
372,0.530019
373,0.5316
375,10.01687
376,0.560245
377,0.516493
378,0.531634
379,0.531757
381,10.030439
382,0.534432
383,0.527887
384,0.501109
385,0.531003
386,0.002578
387,0.559222
388,0.531775
389,0.531612
392,0.526766
394,10.018763
395,0.500653
396,0.562133
397,0.536334
398,0.531285
400,10.020705
401,0.502048
402,0.530406
403,0.53884
404,0.520939
406,10.013655
407,0.503753
408,0.529925
409,0.509085
410,0.525763
412,10.030801
413,0.53707
414,0.53198
415,0.521911
416,0.513542
419,10.004182
420,0.512646
421,0.53142
423,0.503914
424,0.528744
425,0.002673
426,0.526085
427,0.529828
428,0.532032
429,0.505893
431,10.013218
432,0.508888
433,0.516584
434,0.530238
435,0.516613
437,10.026468
438,0.498588
439,0.536731
440,0.522712
441,0.5284
443,10.008159
444,0.521853
445,0.512261
446,0.521073
447,0.531076
450,10.033389
451,0.509683
453,0.505208
454,0.513055
455,0.518573
457,10.032052
458,0.512765
459,0.501062
460,0.512415
461,0.501862
462,0.002495
463,0.513476
464,0.509124
465,0.520142
466,0.514942
468,9.294662
469,0.726363
470,0.511538
471,0.514009
472,0.515338
473,0.516322
475,10.020234
476,0.529696
477,0.530442
478,0.530727
479,0.515456
483,10.017361
485,0.531552
486,0.507618
487,0.507936
488,0.524032
490,10.013418
491,0.504747
492,0.528225
493,0.53309
494,0.532166
496,10.021279
497,0.529229
498,0.528974
499,0.516332
500,0.520232
501,0.00205
502,0.506298
503,0.523695
504,0.508368
505,0.523548
507,10.011436
508,0.543153
509,0.525643
510,0.524967
513,0.510259
515,10.003685
516,0.525992
517,0.532917
518,0.53313
519,0.515607
521,10.021945
522,0.542766
523,0.512402
524,0.512931
525,0.503673
527,10.023247
528,0.534055
529,0.524952
530,0.500742
531,0.538059
533,10.012066
534,0.537512
535,0.527845
536,0.537229
537,0.515068
538,0.003266
539,0.504948
540,0.509837
541,0.527656
544,0.514661
546,10.009676
547,0.524109
548,0.518861
549,0.513225
550,0.512715
552,10.005375
553,0.51522
554,0.514485
555,0.500566
556,0.514614
558,10.006954
559,0.526986
560,0.51374
561,0.500966
562,0.502669
564,10.009936
565,0.500728
566,0.516606
567,0.502706
568,0.512576
571,10.016828
572,0.509981
573,0.516429
575,0.524217
576,0.527625
577,0.0029
578,0.519762
579,0.536833
580,0.52937
581,0.504111
583,10.019778
584,0.538532
585,0.520182
586,0.527695
587,0.517975
589,10.017926
590,0.512487
591,0.503081
592,0.501632
593,0.50089
595,10.01734
596,0.530422
597,0.528235
598,0.531978
599,0.528116
602,10.014731
603,0.53159
605,0.513657
606,0.501553
607,0.505815
609,10.012233
610,0.510696
611,0.526857
612,0.543756
613,0.535959
614,0.002717
615,0.557585
616,0.533159
617,0.530669
618,0.530624
620,10.034111
621,0.526775
622,0.502435
623,0.530217
624,0.532661
626,10.008999
627,0.51479
628,0.512733
629,0.502852
630,0.514029
633,10.016521
635,0.500721
636,0.531205
637,0.533542
638,0.538699
640,10.003362
641,0.517536
642,0.513024
643,0.518511
644,0.506947
646,10.009828
647,0.509598
648,0.532237
649,0.519343
650,0.530268
651,0.003535
652,0.540968
653,0.512576
654,0.531142
655,0.522814
657,10.014902
658,0.511213
659,0.529244
660,0.521024
663,0.525676
665,10.005358
666,0.514201
667,0.516503
668,0.513071
669,0.518299
671,10.02366
672,0.533947
673,0.523467
674,0.525931
675,0.529537
677,10.012721
678,0.52521
679,0.513361
680,0.51746
681,0.52866
683,10.004271
684,0.53067
685,0.531299
686,0.527403
687,0.516202
688,0.002785
689,0.543587
690,0.529046
693,0.517684
694,0.527038
696,10.010991
697,0.523905
698,0.530573
699,0.515581
700,0.503964
702,10.022815
703,0.523699
704,0.531455
705,0.528447
706,0.525047
708,10.008394
709,0.505524
710,0.537692
711,0.503222
712,0.522093
715,10.02662
716,0.512038
717,0.516742
718,0.519074
719,0.529684
722,10.016378
723,0.50263
725,0.526062
726,0.515225
727,0.527855
728,0.002059
729,0.503585
730,0.51944
731,0.525189
732,0.50051
734,10.02133
735,0.52877
736,0.509889
737,0.502457
738,0.502354
740,10.021158
741,0.525754
742,0.519158
743,0.507451
744,0.5162
746,10.022799
747,0.509815
748,0.531855
749,0.527757
750,0.517571
753,10.019571
754,0.512974
756,0.509072
757,0.562614
758,0.531012
760,10.024687
761,0.514488
762,0.509956
763,0.507938
764,0.538858
765,0.002715
766,0.517792
767,0.521353
768,0.525555
769,0.50407
772,10.005578
773,0.562689
774,0.530127
775,0.532003
776,0.49967
778,10.017487
779,0.529293
780,0.561191
781,0.547091
784,0.532077
786,10.013608
787,0.503095
788,0.560899
789,0.530818
790,0.53187
792,10.017222
793,0.560337
794,0.531864
795,0.524935
796,0.504447
798,10.035059
799,0.560421
800,0.501121
801,0.560703
802,0.500894
803,0.00217
804,0.559789
805,0.528973
806,0.503685
807,0.526691
809,10.006223
810,0.52837
811,0.531498
814,0.530372
815,0.532092
817,10.030595
818,0.56424
819,0.529475
820,0.531993
821,0.5001
823,10.010068
824,0.535027
825,0.563916
826,0.504182
827,0.528002
829,10.016198
830,0.530081
831,0.505873
832,0.524719
833,0.534168
835,10.01555
836,0.529626
837,0.52921
838,0.532757
839,0.531093
840,0.002228
841,0.528723
844,0.517841
845,0.502257
846,0.50964
848,10.019352
849,0.528946
850,0.537106
851,0.556893
852,0.531486
854,10.035237
855,0.53173
856,0.556811
857,0.532362
858,0.562168
860,10.032074
861,0.548986
862,0.557997
863,0.537002
864,0.52719
866,10.01692
867,0.529723
868,0.503164
869,0.527672
870,0.501121
874,10.032075
875,0.50636
876,0.523538
877,0.53113
878,0.532189
879,0.001991
880,0.524435
881,0.503458
882,0.501644
883,0.528857
885,10.016672
886,0.500964
887,0.561988
888,0.500859
889,0.56109
891,10.032262
892,0.530635
893,0.532042
894,0.525475
895,0.535477
897,10.033424
898,0.529311
899,0.562812
902,0.531437
903,0.501084
904,2.91134
906,7.104964
907,0.528927
908,0.529619
909,0.50184
910,0.531745
912,10.014547
913,0.500614
914,0.531096
915,0.530837
916,0.531247
917,0.002276
918,0.559135
919,0.501995
920,0.531247
921,0.531114
923,10.031416
924,0.546217
925,0.532655
926,0.529327
927,0.531036
929,10.004998
930,0.557652
933,0.533926
934,0.530009
935,0.531229
937,10.033183
938,0.56013
939,0.531486
940,0.531712
941,0.562672
943,10.017229
944,0.559314
945,0.501251
946,0.53138
947,0.530991
949,10.016086
950,0.528623
951,0.548588
952,0.501782
953,0.514339
954,0.002509
955,0.52498
956,0.534765
957,0.529797
958,0.532672
960,10.012552
963,0.534065
964,0.528913
965,0.53421
966,0.531585
968,10.031881
969,0.531984
970,0.530004
971,0.530223
972,0.562169
974,10.016803
975,0.560761
976,0.531434
977,0.532717
978,0.561126
980,10.019238
981,0.559854
982,0.563193
983,0.531642
984,0.530026
986,10.032834
987,0.52953
988,0.532049
991,0.530591
992,0.53101
993,0.002428
994,0.529595
995,0.532056
996,0.513752
997,0.501505
999,10.034352
1000,0.527248
1001,0.530687
1002,0.531306
1003,0.530201
1005,10.003981
1006,0.505804
1007,0.506699
1008,0.532893
1009,0.534227
1011,10.028676
1012,0.561382
1013,0.525191
1014,0.536462
1015,0.5013
1017,10.032624
1018,0.560022
1021,0.501009
1022,0.506598
1023,0.506834
1025,10.005446
1026,0.528871
1027,0.530138
1028,0.531097
1029,0.531106
1030,0.002608
1031,0.529016
1032,0.530263
1033,0.561349
1034,0.502216
1036,10.032987
1037,0.528942
1038,0.531329
1039,0.531406
1040,0.532231
1042,10.015929
1043,0.530039
1044,0.530388
1045,0.532007
1046,0.531396
1048,10.03137
1051,0.533436
1052,0.529982
1053,0.513293
1054,0.532062
1056,10.033018
1057,0.560507
1058,0.531398
1059,0.529792
1060,0.501829
1062,10.004932
1063,0.515756
1064,0.521822
1065,0.508733
1066,0.531435
1067,0.002076
1068,0.513829
1069,0.518181
1070,0.509068
1071,0.533188
1073,10.008597
1074,0.501076
1075,0.538565
1076,0.530164
1078,0.517969
1081,10.011164
1082,0.51823
1083,0.531615
1084,0.521303
1085,0.505099
