ts,total_bytes
2026-03-06 17:22:50,1
2026-03-06 17:22:55,0
2026-03-06 17:23:00,0
2026-03-06 17:23:05,0
2026-03-06 17:23:10,0
2026-03-06 17:23:15,0
2026-03-06 17:23:20,1
2026-03-06 17:23:25,0
2026-03-06 17:23:30,0
2026-03-06 17:23:35,0
2026-03-06 17:23:40,0
2026-03-06 17:23:45,0
2026-03-06 17:23:50,1
2026-03-06 17:23:55,0
2026-03-06 17:24:00,0
2026-03-06 17:24:05,0
2026-03-06 17:24:10,0
2026-03-06 17:24:15,0
2026-03-06 17:24:20,1
2026-03-06 17:24:25,0
2026-03-06 17:24:30,0
2026-03-06 17:24:35,0
2026-03-06 17:24:40,0
2026-03-06 17:24:45,0
2026-03-06 17:24:50,1
2026-03-06 17:24:55,0
2026-03-06 17:25:00,0
2026-03-06 17:25:05,0
2026-03-06 17:25:10,0
2026-03-06 17:25:15,0
2026-03-06 17:25:20,0
2026-03-06 17:25:25,0
2026-03-06 17:25:30,0
2026-03-06 17:25:35,0
2026-03-06 17:25:40,0
2026-03-06 17:25:45,0
2026-03-06 17:25:50,0
2026-03-06 17:25:55,0
2026-03-06 17:26:00,0
2026-03-06 17:26:05,0
2026-03-06 17:26:10,0
2026-03-06 17:26:15,0
2026-03-06 17:26:20,0
2026-03-06 17:26:25,0
2026-03-06 17:26:30,0
2026-03-06 17:26:35,0
2026-03-06 17:26:40,0
2026-03-06 17:26:45,0
2026-03-06 17:26:50,0
2026-03-06 17:26:55,0
2026-03-06 17:27:00,0
2026-03-06 17:27:05,0
2026-03-06 17:27:10,0
2026-03-06 17:27:15,0
2026-03-06 17:27:20,0
2026-03-06 17:27:25,0
2026-03-06 17:27:30,0
2026-03-06 17:27:35,0
2026-03-06 17:27:40,0
2026-03-06 17:27:45,0
2026-03-06 17:27:50,0
2026-03-06 17:27:55,0
2026-03-06 17:28:00,0
2026-03-06 17:28:05,0
2026-03-06 17:28:10,0
2026-03-06 17:28:15,0
2026-03-06 17:28:20,0
2026-03-06 17:28:25,0
2026-03-06 17:28:30,0
2026-03-06 17:28:35,0
2026-03-06 17:28:40,0
2026-03-06 17:28:45,0
2026-03-06 17:28:50,0
2026-03-06 17:28:55,0
2026-03-06 17:29:00,0
2026-03-06 17:29:05,0
2026-03-06 17:29:10,0
2026-03-06 17:29:15,0
2026-03-06 17:29:20,4
2026-03-06 17:29:25,1
2026-03-06 17:29:30,0
2026-03-06 17:29:35,5
2026-03-06 17:29:40,0
2026-03-06 17:29:45,5
2026-03-06 17:29:50,0
2026-03-06 17:29:55,2
2026-03-06 17:30:00,3
2026-03-06 17:30:05,0
2026-03-06 17:30:10,8
