ts,total_bytes
2026-03-08 18:00:40,6
2026-03-08 18:00:45,0
2026-03-08 18:00:50,5
2026-03-08 18:00:55,1
2026-03-08 18:01:00,1
2026-03-08 18:01:05,5
2026-03-08 18:01:10,2
2026-03-08 18:01:15,5
2026-03-08 18:01:20,1
2026-03-08 18:01:25,2
2026-03-08 18:01:30,9
2026-03-08 18:01:35,0
2026-03-08 18:01:40,4
2026-03-08 18:01:45,2
2026-03-08 18:01:50,1
2026-03-08 18:01:55,5
2026-03-08 18:02:00,2
2026-03-08 18:02:05,5
2026-03-08 18:02:10,1
2026-03-08 18:02:15,1
2026-03-08 18:02:20,5
2026-03-08 18:02:25,0
2026-03-08 18:02:30,8
2026-03-08 18:02:35,3
2026-03-08 18:02:40,1
2026-03-08 18:02:45,5
2026-03-08 18:02:50,2
2026-03-08 18:02:55,4
2026-03-08 18:03:00,2
2026-03-08 18:03:05,0
2026-03-08 18:03:10,6
2026-03-08 18:03:15,0
2026-03-08 18:03:20,6
2026-03-08 18:03:25,0
2026-03-08 18:03:30,2
2026-03-08 18:03:35,9
2026-03-08 18:03:40,2
2026-03-08 18:03:45,3
2026-03-08 18:03:50,3
2026-03-08 18:03:55,0
2026-03-08 18:04:00,6
2026-03-08 18:04:05,0
2026-03-08 18:04:10,5
2026-03-08 18:04:15,1
2026-03-08 18:04:20,1
2026-03-08 18:04:25,5
2026-03-08 18:04:30,2
2026-03-08 18:04:35,7
2026-03-08 18:04:40,4
2026-03-08 18:04:45,0
2026-03-08 18:04:50,6
2026-03-08 18:04:55,0
2026-03-08 18:05:00,5
2026-03-08 18:05:05,1
2026-03-08 18:05:10,1
2026-03-08 18:05:15,5
2026-03-08 18:05:20,2
2026-03-08 18:05:25,5
2026-03-08 18:05:30,1
2026-03-08 18:05:35,1
2026-03-08 18:05:40,10
2026-03-08 18:05:45,0
2026-03-08 18:05:50,4
2026-03-08 18:05:55,2
2026-03-08 18:06:00,1
2026-03-08 18:06:05,5
2026-03-08 18:06:10,2
2026-03-08 18:06:15,4
2026-03-08 18:06:20,2
2026-03-08 18:06:25,0
2026-03-08 18:06:30,6
2026-03-08 18:06:35,0
2026-03-08 18:06:40,7
2026-03-08 18:06:45,4
2026-03-08 18:06:50,1
2026-03-08 18:06:55,5
2026-03-08 18:07:00,2
2026-03-08 18:07:05,3
2026-03-08 18:07:10,3
2026-03-08 18:07:15,0
2026-03-08 18:07:20,6
2026-03-08 18:07:25,0
2026-03-08 18:07:30,5
2026-03-08 18:07:35,1
2026-03-08 18:07:40,1
2026-03-08 18:07:45,10
2026-03-08 18:07:50,2
2026-03-08 18:07:55,2
2026-03-08 18:08:00,4
2026-03-08 18:08:05,0
2026-03-08 18:08:10,6
2026-03-08 18:08:15,0
2026-03-08 18:08:20,5
2026-03-08 18:08:25,1
2026-03-08 18:08:30,1
2026-03-08 18:08:35,5
2026-03-08 18:08:40,2
2026-03-08 18:08:45,6
2026-03-08 18:08:50,5
2026-03-08 18:08:55,0
2026-03-08 18:09:00,6
2026-03-08 18:09:05,0
2026-03-08 18:09:10,4
2026-03-08 18:09:15,2
2026-03-08 18:09:20,1
2026-03-08 18:09:25,5
2026-03-08 18:09:30,2
2026-03-08 18:09:35,4
2026-03-08 18:09:40,2
2026-03-08 18:09:45,0
2026-03-08 18:09:50,11
2026-03-08 18:09:55,0
2026-03-08 18:10:00,3
2026-03-08 18:10:05,3
2026-03-08 18:10:10,1
2026-03-08 18:10:15,5
2026-03-08 18:10:20,2
2026-03-08 18:10:25,3
2026-03-08 18:10:30,3
2026-03-08 18:10:35,0
2026-03-08 18:10:40,6
2026-03-08 18:10:45,0
2026-03-08 18:10:50,7
2026-03-08 18:10:55,4
2026-03-08 18:11:00,1
2026-03-08 18:11:05,5
2026-03-08 18:11:10,2
2026-03-08 18:11:15,2
2026-03-08 18:11:20,4
2026-03-08 18:11:25,0
2026-03-08 18:11:30,6
2026-03-08 18:11:35,0
2026-03-08 18:11:40,4
2026-03-08 18:11:45,2
2026-03-08 18:11:50,1
2026-03-08 18:11:55,10
2026-03-08 18:12:00,2
2026-03-08 18:12:05,1
2026-03-08 18:12:10,5
2026-03-08 18:12:15,0
2026-03-08 18:12:20,6
2026-03-08 18:12:25,0
2026-03-08 18:12:30,3
2026-03-08 18:12:35,3
2026-03-08 18:12:40,1
2026-03-08 18:12:45,5
2026-03-08 18:12:50,2
2026-03-08 18:12:55,3
2026-03-08 18:13:00,8
2026-03-08 18:13:05,0
2026-03-08 18:13:10,6
2026-03-08 18:13:15,0
2026-03-08 18:13:20,2
2026-03-08 18:13:25,4
2026-03-08 18:13:30,1
2026-03-08 18:13:35,5
2026-03-08 18:13:40,2
2026-03-08 18:13:45,2
2026-03-08 18:13:50,4
2026-03-08 18:13:55,0
2026-03-08 18:14:00,9
2026-03-08 18:14:05,2
2026-03-08 18:14:10,1
2026-03-08 18:14:15,5
2026-03-08 18:14:20,1
2026-03-08 18:14:25,5
2026-03-08 18:14:30,2
2026-03-08 18:14:35,1
2026-03-08 18:14:40,5
2026-03-08 18:14:45,0
2026-03-08 18:14:50,6
2026-03-08 18:14:55,0
2026-03-08 18:15:00,4
2026-03-08 18:15:05,7
2026-03-08 18:15:10,1
2026-03-08 18:15:15,4
2026-03-08 18:15:20,3
2026-03-08 18:15:25,0
2026-03-08 18:15:30,6
2026-03-08 18:15:35,0
2026-03-08 18:15:40,6
2026-03-08 18:15:45,0
2026-03-08 18:15:50,2
2026-03-08 18:15:55,4
2026-03-08 18:16:00,1
2026-03-08 18:16:05,8
2026-03-08 18:16:10,4
2026-03-08 18:16:15,0
2026-03-08 18:16:20,6
2026-03-08 18:16:25,0
2026-03-08 18:16:30,5
2026-03-08 18:16:35,1
2026-03-08 18:16:40,1
2026-03-08 18:16:45,5
2026-03-08 18:16:50,1
2026-03-08 18:16:55,5
2026-03-08 18:17:00,2
2026-03-08 18:17:05,2
2026-03-08 18:17:10,9
2026-03-08 18:17:15,0
2026-03-08 18:17:20,4
2026-03-08 18:17:25,2
2026-03-08 18:17:30,1
2026-03-08 18:17:35,5
2026-03-08 18:17:40,1
2026-03-08 18:17:45,5
2026-03-08 18:17:50,2
2026-03-08 18:17:55,1
2026-03-08 18:18:00,5
2026-03-08 18:18:05,0
