id,host_ip,analyzed_at,p_score,fft_peak,autocorr_max,entropy_norm,sample_count,detected,alert_generated
2897,192.168.56.30,2026-03-06 06:16:24.916602+00:00,0.5969122642545275,1.0,-0.001173705697757751,0.013091267331847074,854,True,False
2896,192.168.56.30,2026-03-06 06:15:24.872083+00:00,0.5966942149460961,1.0,-0.001267423066459692,0.013994079136600125,791,True,False
2895,192.168.56.30,2026-03-06 06:14:24.835506+00:00,0.596445274459484,1.0,-0.0013755106347698993,0.015022606433040238,729,True,False
2894,192.168.56.30,2026-03-06 06:14:23.029886+00:00,0.5940512050302137,0.5178573765559551,0.8240834160035458,0.8667385796917292,146,True,False
2893,192.168.56.30,2026-03-06 06:13:24.799302+00:00,0.596208648830187,1.0,-0.001479283495204853,0.01599818885865535,678,True,False
2892,192.168.56.30,2026-03-06 06:12:24.760404+00:00,0.2,0.0,0.0,0.0,615,False,False
2891,192.168.56.30,2026-03-06 06:11:24.716812+00:00,0.2,0.0,0.0,0.0,553,False,False
2890,192.168.56.30,2026-03-06 06:10:24.682977+00:00,0.2,0.0,0.0,0.0,490,False,False
2889,192.168.56.30,2026-03-06 06:09:24.648062+00:00,0.2,0.0,0.0,0.0,428,False,False
2888,192.168.56.30,2026-03-06 06:08:24.616056+00:00,0.2,0.0,0.0,0.0,377,False,False
2887,192.168.56.30,2026-03-06 06:07:24.583577+00:00,0.2,0.0,0.0,0.0,315,False,False
2886,192.168.56.30,2026-03-06 06:06:24.554185+00:00,0.2,0.0,0.0,0.0,253,False,False
2885,192.168.56.30,2026-03-06 06:05:24.517503+00:00,0.2,0.0,0.0,0.0,190,False,False
2884,192.168.56.30,2026-03-06 06:04:24.473981+00:00,0.2,0.0,0.0,0.0,138,False,False
2883,192.168.56.30,2026-03-06 06:04:10.470788+00:00,0.2,0.0,0.0,0.0,115,False,False
2882,192.168.56.30,2026-03-06 06:04:10.302266+00:00,0.2,0.0,0.0,0.0,115,False,False
2881,192.168.56.30,2026-03-06 06:04:10.133748+00:00,0.2,0.0,0.0,0.0,115,False,False
2880,192.168.56.30,2026-03-06 06:04:09.990822+00:00,0.2,0.0,0.0,0.0,115,False,False
2879,192.168.56.30,2026-03-06 06:04:09.815021+00:00,0.2,0.0,0.0,0.0,115,False,False
2878,192.168.56.30,2026-03-06 06:04:09.630464+00:00,0.2,0.0,0.0,0.0,115,False,False
2877,192.168.56.30,2026-03-06 06:04:09.462298+00:00,0.2,0.0,0.0,0.0,115,False,False
2876,192.168.56.30,2026-03-06 06:04:09.087420+00:00,0.2,0.0,0.0,0.0,115,False,False
2875,192.168.56.30,2026-03-06 06:04:08.616006+00:00,0.2,0.0,0.0,0.0,115,False,False
2874,192.168.56.30,2026-03-06 06:03:50.826777+00:00,0.2,0.0,0.0,0.0,103,False,False
2873,192.168.56.30,2026-03-06 06:03:50.667966+00:00,0.2,0.0,0.0,0.0,103,False,False
2872,192.168.56.30,2026-03-06 06:03:50.484000+00:00,0.2,0.0,0.0,0.0,103,False,False
2871,192.168.56.30,2026-03-06 06:03:50.368061+00:00,0.2,0.0,0.0,0.0,103,False,False
2870,192.168.56.30,2026-03-06 06:03:50.191996+00:00,0.2,0.0,0.0,0.0,103,False,False
2869,192.168.56.30,2026-03-06 06:03:50.037510+00:00,0.2,0.0,0.0,0.0,103,False,False
2868,192.168.56.30,2026-03-06 06:03:49.639166+00:00,0.2,0.0,0.0,0.0,103,False,False
2867,192.168.56.30,2026-03-06 06:03:49.363939+00:00,0.2,0.0,0.0,0.0,103,False,False
2866,192.168.56.30,2026-03-06 06:03:49.231072+00:00,0.2,0.0,0.0,0.0,103,False,False
2865,192.168.56.30,2026-03-06 06:03:49.004621+00:00,0.2,0.0,0.0,0.0,103,False,False
2864,192.168.56.30,2026-03-06 06:03:48.783356+00:00,0.2,0.0,0.0,0.0,102,False,False
2863,192.168.56.30,2026-03-06 06:03:48.633744+00:00,0.2,0.0,0.0,0.0,102,False,False
2862,192.168.56.30,2026-03-06 06:03:48.470061+00:00,0.2,0.0,0.0,0.0,102,False,False
2861,192.168.56.30,2026-03-06 06:03:48.322836+00:00,0.2,0.0,0.0,0.0,102,False,False
2860,192.168.56.30,2026-03-06 06:03:48.171867+00:00,0.2,0.0,0.0,0.0,102,False,False
2859,192.168.56.30,2026-03-06 06:03:48.012704+00:00,0.2,0.0,0.0,0.0,102,False,False
2858,192.168.56.30,2026-03-06 06:03:47.874641+00:00,0.2,0.0,0.0,0.0,91,False,False
2857,192.168.56.30,2026-03-06 06:03:47.630284+00:00,0.2,0.0,0.0,0.0,91,False,False
2856,192.168.56.30,2026-03-06 06:03:47.506628+00:00,0.2,0.0,0.0,0.0,91,False,False
2855,192.168.56.30,2026-03-06 06:03:47.057638+00:00,0.2,0.0,0.0,0.0,91,False,False
2854,192.168.56.30,2026-03-06 06:03:32.002347+00:00,0.2,0.0,0.0,0.0,77,False,False
2853,192.168.56.30,2026-03-06 06:03:31.768258+00:00,0.2,0.0,0.0,0.0,77,False,False
2852,192.168.56.30,2026-03-06 06:03:31.580925+00:00,0.2,0.0,0.0,0.0,77,False,False
2851,192.168.56.30,2026-03-06 06:03:31.414242+00:00,0.2,0.0,0.0,0.0,77,False,False
2850,192.168.56.30,2026-03-06 06:03:31.241451+00:00,0.2,0.0,0.0,0.0,77,False,False
2849,192.168.56.30,2026-03-06 06:03:31.091116+00:00,0.2,0.0,0.0,0.0,77,False,False
2848,192.168.56.30,2026-03-06 06:03:30.838758+00:00,0.2,0.0,0.0,0.0,77,False,False
