lag,correlation
1,-0.33333333333333337
2,-0.3461538461538463
3,-0.36000000000000015
4,0.9999999999999998
5,-0.33333333333333337
6,-0.34782608695652156
7,-0.3636363636363637
8,0.9999999999999998
9,-0.3333333333333333
10,-0.34999999999999976
11,-0.3684210526315791
12,1.0
13,-0.33333333333333326
14,-0.35294117647058815
15,-0.37499999999999994
16,0.9999999999999998
17,-0.3333333333333333
18,-0.3571428571428572
19,-0.3846153846153847
20,1.0
21,-0.3333333333333334
22,-0.36363636363636365
23,-0.4000000000000001
24,1.0
25,-0.3333333333333333
26,-0.37499999999999994
27,-0.42857142857142855
28,1.0
29,-0.33333333333333337
30,-0.4000000000000001
31,-0.5
32,1.0
33,-0.3333333333333334
34,-0.5
35,-0.9999999999999997
