lag,correlation
1,-0.5790551285574935
2,0.11308404333820161
3,0.25463451244595114
4,-0.6128770952530002
5,0.7312902881034304
6,-0.568131430019377
7,0.15987368291739507
8,0.20593757883549457
9,-0.6083133654998749
10,0.7593683373248844
11,-0.6087906382783574
12,0.22769514092563886
13,0.3885163906251769
14,-0.6732317814794458
15,0.7458327426135226
16,-0.524551038300476
17,0.060546894245454876
18,0.29983507734255654
19,-0.6308768057545132
20,0.7175931910283236
21,-0.5344361761091254
22,0.10766801306376443
23,0.2561591385776848
24,-0.6559796492235297
25,0.9377002628280402
26,-0.4827204607649647
27,-0.03941881037042052
28,0.3851769633803113
29,-0.6608393149442321
30,0.6981223668868383
31,-0.47944306140504894
32,0.018503832106114157
33,0.3417417743497752
34,-0.6576982067472815
35,0.7274002783150544
36,-0.5216090767886056
37,0.07265727334203664
38,0.5307962970470352
39,-0.7079925120353324
40,0.6888446331528806
41,-0.42691884968684835
42,-0.07252622423272845
43,0.41762167955741714
44,-0.6716006850136748
45,0.6760205583263637
46,-0.44925406750986174
47,-0.023183321431644487
48,0.3862846035756315
49,-0.7014609867169724
