ts,total_bytes
2026-03-07 18:49:45,1
2026-03-07 18:50:00,0
2026-03-07 18:50:15,0
2026-03-07 18:50:30,0
2026-03-07 18:50:45,1
2026-03-07 18:51:00,0
2026-03-07 18:51:15,0
2026-03-07 18:51:30,0
2026-03-07 18:51:45,1
2026-03-07 18:52:00,0
2026-03-07 18:52:15,0
2026-03-07 18:52:30,0
2026-03-07 18:52:45,1
2026-03-07 18:53:00,0
2026-03-07 18:53:15,0
2026-03-07 18:53:30,0
2026-03-07 18:53:45,1
2026-03-07 18:54:00,0
2026-03-07 18:54:15,0
2026-03-07 18:54:30,0
2026-03-07 18:54:45,1
2026-03-07 18:55:00,0
2026-03-07 18:55:15,0
2026-03-07 18:55:30,0
2026-03-07 18:55:45,1
2026-03-07 18:56:00,0
2026-03-07 18:56:15,0
2026-03-07 18:56:30,0
2026-03-07 18:56:45,1
2026-03-07 18:57:00,0
2026-03-07 18:57:15,0
2026-03-07 18:57:30,0
2026-03-07 18:57:45,1
2026-03-07 18:58:00,0
2026-03-07 18:58:15,0
2026-03-07 18:58:30,0
2026-03-07 18:58:45,1
