ts,total_bytes
2026-03-06 07:45:05,1
2026-03-06 07:45:10,0
2026-03-06 07:45:15,0
2026-03-06 07:45:20,0
2026-03-06 07:45:25,0
2026-03-06 07:45:30,0
2026-03-06 07:45:35,0
2026-03-06 07:45:40,0
2026-03-06 07:45:45,0
2026-03-06 07:45:50,0
2026-03-06 07:45:55,0
2026-03-06 07:46:00,0
2026-03-06 07:46:05,0
2026-03-06 07:46:10,0
2026-03-06 07:46:15,0
2026-03-06 07:46:20,0
2026-03-06 07:46:25,0
2026-03-06 07:46:30,0
2026-03-06 07:46:35,0
2026-03-06 07:46:40,0
2026-03-06 07:46:45,0
2026-03-06 07:46:50,0
2026-03-06 07:46:55,0
2026-03-06 07:47:00,0
2026-03-06 07:47:05,0
2026-03-06 07:47:10,0
2026-03-06 07:47:15,0
2026-03-06 07:47:20,0
2026-03-06 07:47:25,0
2026-03-06 07:47:30,0
2026-03-06 07:47:35,0
2026-03-06 07:47:40,0
2026-03-06 07:47:45,0
2026-03-06 07:47:50,0
2026-03-06 07:47:55,0
2026-03-06 07:48:00,0
2026-03-06 07:48:05,0
2026-03-06 07:48:10,0
2026-03-06 07:48:15,0
2026-03-06 07:48:20,0
2026-03-06 07:48:25,0
2026-03-06 07:48:30,0
2026-03-06 07:48:35,0
2026-03-06 07:48:40,0
2026-03-06 07:48:45,0
2026-03-06 07:48:50,0
2026-03-06 07:48:55,0
2026-03-06 07:49:00,0
2026-03-06 07:49:05,0
2026-03-06 07:49:10,0
2026-03-06 07:49:15,0
2026-03-06 07:49:20,0
2026-03-06 07:49:25,0
2026-03-06 07:49:30,0
2026-03-06 07:49:35,0
2026-03-06 07:49:40,0
2026-03-06 07:49:45,0
2026-03-06 07:49:50,0
2026-03-06 07:49:55,0
2026-03-06 07:50:00,0
2026-03-06 07:50:05,0
2026-03-06 07:50:10,0
2026-03-06 07:50:15,0
2026-03-06 07:50:20,0
2026-03-06 07:50:25,0
2026-03-06 07:50:30,0
2026-03-06 07:50:35,0
2026-03-06 07:50:40,0
2026-03-06 07:50:45,0
2026-03-06 07:50:50,0
2026-03-06 07:50:55,0
2026-03-06 07:51:00,0
2026-03-06 07:51:05,0
2026-03-06 07:51:10,0
2026-03-06 07:51:15,0
2026-03-06 07:51:20,0
2026-03-06 07:51:25,0
2026-03-06 07:51:30,0
2026-03-06 07:51:35,0
2026-03-06 07:51:40,0
2026-03-06 07:51:45,0
2026-03-06 07:51:50,0
2026-03-06 07:51:55,0
2026-03-06 07:52:00,0
2026-03-06 07:52:05,0
2026-03-06 07:52:10,0
2026-03-06 07:52:15,0
2026-03-06 07:52:20,0
